3;;
0.1794579830;0.3928692436;
0.6300893767;0.6584743904;
0.4205488623;0.1345680833;
3;;
18;2;
1;0.348265448;0.269011835
3;0.234727223;0.757319949
2;0.767184912;0.721171411
2;0.71667111;0.867750641
2;0.919303164;0.573783432
1;0.344657111;0.165592322
2;0.456945687;0.939763359
1;0.276023884;0.150339727
2;0.562195095;0.473443426
3;0.235105096;0.325536645
1;0.903213043;0.004042724
2;0.563295614;0.704394646
2;0.464132225;0.815030744
2;0.781520654;0.327890346
3;0.029144362;0.158528215
2;0.834918083;0.40419595
3;0.050047786;0.453949574
1;0.621989326;0.059893677
